date,sp500_price,dividend,earnings,cpi,date_fraction,gs10,real_price,real_dividend,real_total_return_price,real_earnings,real_tr_scaled_earnings,cape,tr_cape,ecy,monthly_total_bond_returns,real_total_bond_returns,ten_year_annualized_stock_real_return,ten_year_annualized_bonds_real_return,real_10_year_excess_annualized_returns
1934-09-01,8.88,0.4475,0.4775,13.6,1934.7083333332755,2.9000000000000004,214.12210147058826,10.790500045955884,6223.504243688551,11.51388552389706,334.65352211275706,10.90995408328885,14.889060036884645,0.04001878164181142,1.0047872822593136,13.14931583635452,0.06535910785491339,0.0024819339375721228,0.06287717391734127
1934-10-01,8.95,0.4483,0.4817,13.5,1934.7916666666088,2.8724999999999996,217.4085935185185,10.889862846296296,6345.403178911205,11.70119770925926,341.5173979085506,11.108352605351731,15.171974636031162,0.03736637727212225,1.0047674674992313,13.310133954800603,0.06632161865560304,0.0015454486364046005,0.06477617001919844
1934-11-01,9.2,0.4492,0.4858,13.5,1934.874999999942,2.8449999999999998,223.48145925925925,10.911725162962963,6549.188697018286,11.800792707407409,345.82563793603083,11.448808690205706,15.647600135571412,0.03496436017184484,1.0047476583291777,13.37358958584053,0.06265395584959954,0.0013498189515908088,0.06130413689800873
1934-12-01,9.26,0.45,0.49,13.4,1934.9583333332753,2.8175,226.61759589552238,11.012734141791045,6667.988366256663,11.991643843283581,352.84171700494215,11.639337566475891,15.91828782703735,0.03251888039989976,1.004727854760692,13.53735955729016,0.06287266206597564,-0.0001520609469868317,0.06302472301296247
1935-01-01,9.26,0.45,0.57,13.6,1935.0416666666085,2.79,223.28498419117648,10.850782169117648,6596.535800665701,13.744324080882352,406.05025986819106,11.495907968201605,15.731975583272819,0.0353110251625385,1.0033352317261985,13.401342194368524,0.06756774959312373,0.0011372253044716896,0.06643052428865204
1935-02-01,8.98,0.45,0.65,13.7,1935.1249999999418,2.7783333333333333,214.95285072992704,10.771579379562045,6376.897396557206,15.55894799270073,461.5794329356552,11.087812159055568,15.179973139310752,0.03991129006012651,1.0033260709525895,13.34789250759066,0.07512445941483392,0.0018674549898307635,0.07325700442500316
1935-03-01,8.41,0.45,0.73,13.7,1935.208333333275,2.7666666666666666,201.30885018248176,10.771579379562045,5998.757322652226,17.473895437956205,520.7006950696939,10.398272404790031,14.241120748641011,0.04544215282497626,1.0033169106083266,13.392288545138442,0.08205899020700902,0.0018637406386492472,0.08019524956835977
1935-04-01,9.04,0.446667,0.756667,13.8,1935.2916666666083,2.755,214.82102463768115,10.614321085380434,6427.761396447898,17.980971266539854,538.0171385581905,11.104210207149523,15.20311445041711,0.04072261218661088,1.0033077506937862,13.339342108438048,0.07768844316916956,0.002588681703337592,0.07509976146583197
1935-05-01,9.75,0.443333,0.783333,13.8,1935.3749999999416,2.743333333333333,231.69302989130435,10.535093950851449,6958.865432591958,18.61464576244565,559.0880959906211,11.985576683480103,16.397052898465702,0.033650043199486106,1.0032985912093437,13.383465326551885,0.07293273867313044,0.002022971969042109,0.07090976670408833
1935-06-01,10.12,0.44,0.81,13.7,1935.4583333332748,2.731666666666667,242.24085182481753,10.53221094890511,7302.028798524829,19.388842883211684,584.4509216210586,12.539519324443894,17.136505102037557,0.028247919232257182,1.0032894321553765,13.525623673377721,0.06890510253711302,0.0001781255406505533,0.06872697699646246
1935-07-01,10.65,0.44,0.793333,13.7,1935.541666666608,2.72,254.92737864963507,10.53221094890511,7710.903928877012,18.989887519835765,574.3957320758483,13.202137936511015,18.016989509797185,0.023253755404172988,1.0032802735322615,13.570115294810451,0.06128293189719791,0.00017346680865371056,0.0611094650885442
1935-08-01,11.37,0.44,0.776667,13.7,1935.6249999999413,2.708333333333333,272.1619056569343,10.53221094890511,8258.75218923854,18.59095609330292,564.142505414189,14.105056846668958,19.21922654042148,0.018521673753049417,1.003271115340376,13.614628984841755,0.0547678787068131,0.00016857055472474514,0.054599308152088355
1935-09-01,11.61,0.44,0.76,13.7,1935.7083333332746,2.6966666666666668,277.90674799270073,10.53221094890511,8459.712737965247,18.19200072992701,553.7796452070274,14.418891702707436,19.61552148991376,0.017095239052496797,1.0032619575800976,13.659164006567597,0.05955795284923204,0.00016343682892983047,0.05939451602030221
1935-10-01,11.92,0.45,0.76,13.7,1935.7916666666079,2.685,285.3271693430657,10.771579379562045,8712.921194161881,18.19200072992701,555.5218211042811,14.826232627114088,20.137764924493016,0.015306465382436352,1.0032528002518044,13.703719620136617,0.06111217938451907,0.00015806568157428202,0.06095411370294479
1935-11-01,13.04,0.46,0.76,13.8,1935.874999999941,2.6733333333333333,309.8745753623188,10.931158333333332,9490.33217388325,18.060174637681158,553.1175193367538,16.129605163251142,21.868060170749104,0.009044033083028313,1.0032436433558753,13.648669756080931,0.0558155468986008,0.0008801085441312306,0.05493543835446957
1935-12-01,13.04,0.47,0.76,13.8,1935.9583333332744,2.6616666666666666,309.8745753623188,11.168792210144927,9518.83713376135,18.060174637681158,554.7788513541891,16.159192714615322,21.869913075541888,0.00958982964150884,1.0032344868926886,13.69294117305178,0.05703418685673234,0.00032296307136503444,0.056711223785367304
1936-01-01,13.76,0.48,0.77,13.8,1936.0416666666076,2.65,326.9842144927536,11.406426086956522,10073.61598511554,18.297808514492754,563.7125224228901,17.087359845997245,23.08229070469264,0.0063450083552025124,1.0019905526047752,13.737230811798373,0.055499892268091156,0.0003168788909402309,0.055183013377150925
1936-02-01,14.55,0.49,0.78,13.8,1936.1249999999409,2.6525,345.7572907608696,11.644059963768116,10681.86423712379,18.535442391304347,572.6360209592134,18.104536459517785,24.406816425328543,0.0030319918323534617,1.0019926619203892,13.764575492373197,0.05052476140234896,0.0008071457231515478,0.04971761567919741
1936-03-01,14.86,0.5,0.79,13.7,1936.2083333332741,2.6550000000000002,355.7014879562044,11.968421532846715,11019.894184738492,18.910106021897814,585.8490178965956,18.660478203926022,25.104585822781548,0.00119866412916219,1.0019947712317432,13.892675197207225,0.043274381012652574,-0.0010795426547715037,0.04435392366742408
1936-04-01,14.88,0.516667,0.82,13.7,1936.2916666666074,2.6574999999999998,356.1802248175183,12.367376896222629,11066.655009509039,19.628211313868615,609.8559884272454,18.718999665151497,25.132351826424678,0.0004605313200985936,1.0019968805388375,13.920387906022567,0.04911388215992463,-0.0016842079616904426,0.05079809012161507
